#海鹰tv#
🇨🇳央视,#genre#
CCTV世界地理,http://117.148.179.157/PLTV/88888888/224/3221231537/index.m3u8
CCTV女性时尚,http://111.20.33.93/PLTV/88888893/224/3221226237/index.m3u8
CCTV央视台球,http://117.148.179.157/PLTV/88888888/224/3221231616/index.m3u8
CCTV电视指南,http://117.148.179.157/PLTV/88888888/224/3221231571/index.m3u8
CCTV高尔夫网球,http://39.135.32.5:6610/PLTV/77777777/224/3221225884/everydaylive_gefwq.m3u8?servicetype=1&from=everydaytv4.2
CCTV央视文化精品,http://117.148.179.157/PLTV/88888888/224/3221231561/index.m3u8
CCTV卫生健康,http://183.214.164.90/hlsliveali-cdn.ysp.cctv.cn/ysp/2012513503.m3u8?from=everydaytv4.2
CCTV中视购物,http://39.134.68.170:6610/PLTV/88888888/224/3221226091/everydaylive_cctvzsgw.m3u8?from=everydaytv4.2
CGTN,rtsp://183.251.61.199/PLTV/88888888/224/3221225990/10000100000000060000000002296713_0.smil
CGTN纪录,http://39.134.68.170:6610/PLTV/88888888/224/3221225602/everydaylive_cgtnjl.m3u8?from=everydaytv4.2
CGTN法语,http://39.135.32.5:6610/PLTV/77777777/224/3221225878/everydaylive_cgtnfy.m3u8?servicetype=1&from=everydaytv4.2
CGTN西班牙语,http://39.135.32.5:6610/PLTV/77777777/224/3221225875/everydaylive_cgtnxbyy.m3u8?servicetype=1&from=everyday4.2
CGTN阿拉伯语,http://39.135.32.5:6610/PLTV/77777777/224/3221225822/everydaylive_cgtnalby.m3u8?servicetype=1&from=everydaytv4.2
CGTN俄罗斯语,http://39.135.32.5:6610/PLTV/77777777/224/3221225825/everydaylive_cgtnelsy.m3u8?servicetype=1&from=everytv4.2
中央新影 老故事,http://111.20.41.242/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
中央新影 发现之旅,http://111.20.41.242/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226235/1.m3u8&from=everydaytv4.2
CETV 1,http://39.135.55.7:6610/PLTV/88888888/224/3221227067/everydaylive_cetv1.m3u8?servicetype=1&from=everydaytv4.2
CETV 2,http://39.135.32.5:6610/PLTV/77777777/224/3221225881/everydaylive_cetv2.m3u8?servicetype=1&from=everydaytv4.2
CETV 3,http://111.20.41.242/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226226/1.m3u8&from=everydaytv4.2
CETV 4,http://39.134.68.170:6610/PLTV/88888888/224/3221225783/everydaylive_cetv4.m3u8?from=everydaytv4.2
CNC,http://39.135.138.58:18890/PLTV/88888888/224/3221225694/index.m3u8?from=everydaytv4.2
CNC ENG,http://39.135.138.58:18890/PLTV/88888888/224/3221225693/index.m3u8?from=everydaytv4.2
中国天气,rtsp://183.251.61.199/PLTV/88888888/224/3221226073/10000100000000060000000002296914_0.smil
百姓健康,http://124.232.233.15:6610/000000001001/201500000090/everydaylive_bxjk.m3u8?from=everydaytv4.2
环球购物,http://39.134.68.170:6610/PLTV/88888888/224/3221225708/everydaylive_hqgw.m3u8?from=everydaytv4.2
央广购物,http://39.134.68.170:6610/PLTV/88888888/224/3221225679/everydaylive_yggw.m3u8?from=everydaytv4.2
CHC动作电影,http://111.20.41.248/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8?from=everydaytv4.2
CHC家庭影院,http://111.20.41.242/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8?from=everydaytv4.2
🇨🇳卫视,#genre#
湖南卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226082/10000100000000060000000002296924_0.smil
江苏卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226038/10000100000000060000000002296879_0.smil
浙江卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226040/10000100000000060000000002296881_0.smil
东方卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226041/10000100000000060000000002296882_0.smil
广东卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226089/10000100000000060000000002296927_0.smil
深圳卫视,http://39.134.68.170:6610/PLTV/88888888/224/3221225739/everydaylive_szws.m3u8?from=everydaytv4.2
北京卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226092/10000100000000060000000002296930_0.smil
天津卫视,http://39.134.68.170:6610/PLTV/88888888/224/3221226459/everydaylive_tjws.m3u8?from=everydaytv4.2
山东卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226090/10000100000000060000000002296928_0.smil
湖北卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226091/10000100000000060000000002296929_0.smil
黑龙江卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226087/10000100000000060000000002296926_0.smil
河北卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226111/10000100000000060000000002310153_0.smil
安徽卫视,http://39.134.68.170:6610/PLTV/88888888/224/3221226391/everydaylive_ahws.m3u8?from=everydaytv4.2
辽宁卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221225832/everydaylive_lnws.m3u8?servicetype=1&from=everydaytv4.2
东南卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226121/10000100000000060000000002358085_0.smil
江西卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226687/42186801.smil
重庆卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226753/45949735.smil
四川卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226806/45949301.smil
广西卫视,http://39.135.32.5:6610/PLTV/77777777/224/3221225986/everydaylive_gxws.m3u8?servicetype=1&from=everydaytv4.2
云南卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221227181/everydaylive_ynws.m3u8?servicetype=1&from=everydaytv4.2
河南卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226076/10000100000000060000000002296917_0.smil
贵州卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226126/10000100000000060000000002434541_0.smil
吉林卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226792/48616745.smil
海南卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226048/10000100000000060000000002296889_0.smil
甘肃卫视,http://39.136.48.26:8089/PLTV/88888888/224/3221226387/index.m3u8
厦门卫视,http://39.135.55.7:6610/PLTV/88888888/224/3221226781/everydaylive_xmws.m3u8?servicetype=1&from=everydaytv4.2
南方卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226788/48356344.smil
山西卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226842/48628662.smil
青海卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226078/10000100000000060000000002296920_0.smil
陕西卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226110/10000100000000060000000002310152_0.smil
内蒙古卫视,http://39.134.68.170:6610/PLTV/88888888/224/3221226389/everydaylive_nmgws.m3u8?from=everydaytv4.2
宁夏卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226075/10000100000000060000000002296916_0.smil
新疆卫视,http://39.134.68.170:6610/PLTV/88888888/224/3221226460/everydaylive_xjws.m3u8?from=everydaytv4.2
兵团卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226804/48628997.smil
海峡卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226128/10000100000000060000000002434539_0.smil
三沙卫视,rtsp://183.251.61.199/PLTV/88888888/224/3221226819/57526516.smil
延边卫视,http://39.134.68.170:6610/PLTV/88888888/224/3221226516/everydaylive_ybws.m3u8?from=everydaytv4.2
康巴卫视,http://39.134.68.170:6610/PLTV/88888888/224/3221225660/everydaylive_kbws.m3u8?from=everydaytv4.2
香港卫视,https://zhibo.hkstv.tv/livestream/mutfysrq.flv
🏁赛事,#genre#
CCTV体育,http://39.134.68.170:6610/PLTV/88888888/224/3221226019/everydaylive_cctv5.m3u8?from=everydaytv4.2
CCTV体育赛事,rtsp://183.251.61.199/PLTV/88888888/224/3221226714/40417236.smil
CCTV奥林匹克,http://39.134.68.170:6610/PLTV/88888888/224/3221226100/everydaylive_cctv16.m3u8?from=everydaytv4.2
CCTV风云足球,http://117.148.179.157/PLTV/88888888/224/3221231547/index.m3u8
CCTV央视台球,http://117.148.179.157/PLTV/88888888/224/3221231616/index.m3u8
CCTV高尔夫网球,http://39.135.32.5:6610/PLTV/77777777/224/3221225884/everydaylive_gefwq.m3u8?servicetype=1&from=everydaytv4.2
安徽综艺体育,http://live1.ahwanyun.cn/wylive/ccbf08e9-40a1-43ac-b0ab-89b32d90c9f8.m3u8
陕西体育休闲,http://111.20.41.248/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226363/1.m3u8?from=everydaytv4.2
山东体育,https://livealone302.iqilu.com/iqilu/typd.m3u8
五星体育,http://111.40.196.9/PLTV/88888888/224/3221225503/index.m3u8
劲爆体育,http://140.207.241.3:8080/live/program/live/jbtyhd/4000000/d1.m3u8
杭州少儿体育,http://117.148.179.157/PLTV/88888888/224/3221229316/index.m3u8?from=everydaytv4.2
精彩体育,http://111.20.41.252/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226010/1.m3u8?from=everydaytv4.2
体育赛事,http://39.134.68.170:6610/PLTV/88888888/224/3221225764/eveeydaylive_tyss.m3u8?from=everydaytv4.2
NewTV超级体育,http://39.134.68.170:6610/PLTV/88888888/224/3221225715/index.m3u8?from=everydaytv4.2
NewTV精品体育,http://39.134.68.170:6610/PLTV/88888888/224/3221225674/index.m3u8?from=everydaytv4.2
北京冬奥纪实,http://39.134.68.170:6610/PLTV/88888888/224/3221225729/index.m3u8?from=everydaytv4.2
游戏风云,http://111.20.41.242/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226579/1.m3u8?from=everydaytv4.2
啵哒赛事,http://39.134.68.170:6610/PLTV/88888888/224/3221225675/everydaylive_bdss.m3u8?from=everydaytv4.2
广东体育,http://124.222.36.211/?id=gdty
有线体育台,http://124.222.36.211/?id=yxtyt
纬来体育,http://124.222.36.211/?id=wlty
ELEVEN 1,http://124.222.36.211/?id=eleven1
ELEVEN 2,http://124.222.36.211/?id=eleven2
🇨🇳福建,#genre#
福建综合,rtsp://183.251.61.199/PLTV/88888888/224/3221226826/47882539.smil
福建乡村振兴公共,rtsp://183.251.61.199/PLTV/88888888/224/3221226113/10000100000000060000000002358064_0.smil
福建新闻,rtsp://183.251.61.199/PLTV/88888888/224/3221226116/10000100000000060000000002358068_0.smil
福建电视剧,rtsp://183.251.61.199/PLTV/88888888/224/3221226115/10000100000000060000000002358067_0.smil
福建旅游,rtsp://183.251.61.199/PLTV/88888888/224/3221226125/10000100000000060000000002358191_0.smil
福建经济,rtsp://183.251.61.199/PLTV/88888888/224/3221226117/10000100000000060000000002358072_0.smil
福建文体,rtsp://183.251.61.199/PLTV/88888888/224/3221226127/10000100000000060000000002434540_0.smil
福建少儿,rtsp://183.251.61.199/PLTV/88888888/224/3221226120/10000100000000060000000002358082_0.smil
福建导视,rtsp://183.251.61.199/PLTV/88888888/224/3221226099/10000100000000060000000002298270_0.smil
福建教育,http://39.135.55.7:6610/PLTV/88888888/224/3221226981/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福州综合,http://39.135.55.7:6610/PLTV/88888888/224/3221227157/index.m3u8?servicetype=1&IASHttpSessionId=OTT
福州影视,http://live.zohi.tv/video/s10001-yspd-2/index.m3u8
福州生活,http://live.zohi.tv/video/s10001-shpd-3/index.m3u8
福州少儿,http://live.zohi.tv/video/s10001-sepd-4/index.m3u8
厦门一套,http://39.135.55.7:6610/PLTV/88888888/224/3221226814/index.m3u8?servicetype=1&IASHttpSessionId=OTT
厦门二套,http://39.135.55.7:6610/PLTV/88888888/224/3221226777/index.m3u8?servicetype=1&IASHttpSessionId=OTT
厦门三套,http://39.135.55.7:6610/PLTV/88888888/224/3221226760/index.m3u8?servicetype=1&IASHttpSessionId=OTT
莆田新闻综合,http://39.135.55.7:6610/PLTV/88888888/224/3221227161/index.m3u8?servicetype=1&IASHttpSessionId=OTT
泉州新闻综合,http://39.135.55.7:6610/PLTV/88888888/224/3221227165/index.m3u8?servicetype=1&IASHttpSessionId=OTT
漳州新闻综合,http://39.135.55.7:6610/PLTV/88888888/224/3221227169/index.m3u8?servicetype=1&IASHttpSessionId=OTT
龙岩新闻综合,http://39.135.55.7:6610/PLTV/88888888/224/3221227200/index.m3u8?servicetype=1&IASHttpSessionId=OTT#http://live.lytv.net.cn/zhpwd/hd/live.m3u8#http://stream.lytv.net.cn/2/sd/live.m3u8
龙岩公共频道,http://live.lytv.net.cn/ggpd/sd/live.m3u8#http://stream.lytv.net.cn/1/sd/live.m3u8
宁德新闻综合,http://39.135.55.7:6610/PLTV/88888888/224/3221227196/index.m3u8?servicetype=1&IASHttpSessionId=OTT
宁德公共频道,http://live.nddst.com/ndtv2/1080P/live.m3u8
三明新闻综合,http://39.135.55.7:6610/PLTV/88888888/224/3221227173/index.m3u8?servicetype=1&IASHttpSessionId=OTT
三明公共频道,http://stream.smntv.cn/smtv2/sd/live.m3u8
平潭新闻综合,http://39.135.55.7:6610/PLTV/88888888/224/3221227218/index.m3u8?servicetype=1&IASHttpSessionId=OTT
南平新闻综合,http://39.135.55.7:6610/PLTV/88888888/224/3221227066/index.m3u8?servicetype=1&IASHttpSessionId=OTT
南平公共影视,http://39.135.55.7:6610/PLTV/88888888/224/3221226956/index.m3u8?servicetype=1&IASHttpSessionId=OTT
新罗电视一套,http://stream.lyxltv.com/xltv/sd/live.m3u8
新罗电视二套,http://stream.lyxltv.com/xinluotv/sd/live.m3u8
大田综合,http://84y6jdxz.live2.danghongyun.com/live/hls/44193de64624414eb0110ebce59c63f8/0600869bdafe4500932addd3cc284c69.m3u8
大田二套,http://84y6jdxz.live2.danghongyun.com/live/hls/8a6db004318e4378b58d87f0414da77c/5a6c5d786f834df8a65b423af5851e6f.m3u8
将乐综合,http://218.106.152.196/lsdream/9nbYeUc/1000/live.m3u8
建宁综合频道,https://p2.weizan.cn/2144741973/075444991326676404/live.m3u8
宁化电视一套,http://fjnhdb.chinashadt.com:2036/live/stream:nh1.stream/playlist.m3u8
泰宁新闻频道,https://p2.weizan.cn/2123201810/941522397962841708/live.m3u8
永安综合频道,http://218.106.152.196/lsdream/x6FnPrm/2000/live.m3u8
霞浦综合频道,http://218.106.152.196/lsdream/G7wCyZW/4000/live.m3u8
邵武新闻频道,http://84y6jdxz.live2.danghongyun.com/live/hls/8efcc6f8c3a1469181c23d1c64e61526/7a29fd92c3324a06a1b943711573b04f.m3u8
武夷山综合频道,http://fjwysdb.chinashadt.com:2036/live/1.stream/playlist.m3u8
武夷山文旅茶,http://fjwysdb.chinashadt.com:2036/live/3.stream/playlist.m3u8
永泰综合,http://ytrmtzx.com:8278/yongtaipindao1/playlist.m3u8
德化新闻综合,http://218.106.152.196/lsdream/2LacKP6/1024/live.m3u8
晋江电视台,http://stream.jinjiang.tv/1/sd/live.m3u8
南安新闻综合,http://natv.cnjrna.com:3000/channel/sovp/1000000000000018/video_1564_none.m3u8
石狮综合,http://218.106.152.196/lsdream/MO13IYx/2000/live.m3u8
云霄综合,http://live.zzyxxw.com:85/live/xwzh.m3u8
漳浦综合,http://220.161.87.62:8090/hls/0/index.m3u8
🇨🇳安徽,#genre#
安徽影视,http://live1.ahwanyun.cn/wylive/9f8f237e-586a-4e53-ae57-8abc222ff0f1.m3u8?auth_key=1615545302-0-0-ef33a0fcd60a5fcafde386de9f7728f0
安徽经济生活,http://live1.ahwanyun.cn/wylive/427c4278-8044-4305-a83c-d8102148e3cc.m3u8?auth_key=1615544143-0-0-160a5148b697100a4a831815226a2ad2
安徽综艺体育,http://live1.ahwanyun.cn/wylive/ccbf08e9-40a1-43ac-b0ab-89b32d90c9f8.m3u8?auth_key=1615545347-0-0-4e248398b58643f276f7ea9608522efb
安徽导视,http://agsj.appcoo.com:8000/agsj/test/index.m3u8
家家购物,http://111.20.33.93/PLTV/88888893/224/3221226354/index.m3u8
皖江购物,http://play.jiajiamall.com/live/1551800448238475.m3u8?txSecret=6beb68de1801ce17153c66f222eddb4c&txTime=6BF1AC80
合肥新闻,https://hylive.hfbtv.com/lsdream/pdq062k/1000/live.m3u8
合肥生活,https://hylive.hfbtv.com/lsdream/5osSo9R/1000/live.m3u8
合肥财经,https://hylive.hfbtv.com/lsdream/FRTSshY/1000/live.m3u8
合肥教育法制,https://hylive.hfbtv.com/lsdream/5EfK6HI/1000/live.m3u8
合肥故事休闲,https://hylive.hfbtv.com/lsdream/q66ojce/1000/live.m3u8
合肥公共,https://hylive.hfbtv.com/lsdream/pytL5lE/1000/live.m3u8
池州新闻综合,http://cm.wshls.homecdn.com/live/829f.m3u8
池州公共频道,http://cm.wshls.homecdn.com/live/829d.m3u8
宿州新闻综合,http://live.ahsz.tv/video/s10001-szzh/index.m3u8
宿州公共频道,http://live.ahsz.tv/video/s10001-ggpd/index.m3u8
宿州科教频道,http://live.ahsz.tv/video/s10001-kxjy/index.m3u8
阜阳测试频道,http://hwapi.yunshicloud.com/8rj7c1/820xt5.m3u8
阜阳公共频道,http://hwapi.yunshicloud.com/8rj7c1/m0e15a.m3u8
阜阳教育频道,http://hwapi.yunshicloud.com/8rj7c1/w5do38.m3u8
铜陵新闻综合,http://dstpush1.retalltech.com/app/stream1.m3u8
铜陵公共频道,http://dstpush1.retalltech.com/app/stream2.m3u8
铜陵科教频道,http://dstpush1.retalltech.com/app/stream3.m3u8
亳州新闻频道,http://zbbf2.ahbztv.com/live/416.m3u8
亳州农村频道,http://zbbf2.ahbztv.com/live/418.m3u8
黄山新闻综合,http://hslive.hsnewsnet.com/lsdream/hve9Wjs/1000/live.m3u8
黄山公共生活,http://hslive.hsnewsnet.com/lsdream/iY92ady/1000/live.m3u8
芜湖新闻综合,http://play.wuhunews.cn/whbtv/channel1_sd.m3u8
芜湖生活频道,http://play.wuhunews.cn/whbtv/channel2_sd.m3u8
芜湖公共频道,http://play.wuhunews.cn/whbtv/channel3_sd.m3u8
芜湖教育频道,http://play.wuhunews.cn/whbtv/channel4_sd.m3u8
安庆新闻综合,http://hwzbout.yunshicloud.com/0spq8i/72wt2h.m3u8
安庆公共频道,http://hwzbout.yunshicloud.com/0spq8i/74r1vt.m3u8
安庆教育频道,http://220.179.7.220:1935/live/_definst_/jypd/playlist.m3u8
安庆石化电视,http://183.167.250.225:8081/live/0.m3u8
六安新闻综合,http://pili-live-rtmp.luan2.hfmt.net/luan2/jjpd.m3u8
六安公共频道,http://pili-live-rtmp.luan2.hfmt.net/luan2/ggpd.m3u8
淮南新闻综合,http://stream.0554news.com/hnds1/sd/live.m3u8
淮南公共频道,http://stream.0554news.com/hnds2/sd/live.m3u8
马鞍山综合频道,http://live2.jianmaanshan.cn/c01/sd/live.m3u8
马鞍山公共频道,http://live2.jianmaanshan.cn/c02/sd/live.m3u8
滁州新闻综合,http://live.cztv.cc:85/live/xwpd.m3u8
滁州科教频道,http://live.cztv.cc:85/live/sjpd.m3u8
滁州公共频道,http://live.cztv.cc:85/live/ggpd.m3u8
枞阳综合频道,https://hwapi.yunshicloud.com/7y5967/6giz18.m3u8#http://112.27.89.235:8008/out_1/index.m3u8
繁昌新闻综合,https://hwapi.yunshicloud.com/3giqaj/i6v1o5.m3u8
繁昌文体娱乐,https://hwapi.yunshicloud.com/22356x/ido05e.m3u8#https://hwapi.yunshicloud.com/3giqaj/k46mx9.m3u8
南陵新闻综合,http://live2018.wuhunews.cn/video/s10010-nlnews/index.m3u8
湾沚区新闻综合,http://60.169.39.215:8090/live/ch0.m3u8
固镇新闻频道,http://www.guzhenm.com:7001/hls/hd-live.m3u8
固镇影视频道,http://www.guzhenm.com:7004/hls/hd-live.m3u8
怀远一套,rtmp://m.yunxi.tv/yunxi-host/test_e7cba94f9450436fba1f747534dc9121?auth_key=1781502420-0-0-619476a370c978c22ffaaeb0288c332e
怀远二套,rtmp://m.yunxi.tv/yunxi-host/test_e8eed0b9088a44788eb393dd6d10e1fe?auth_key=1781502600-0-0-7b29b500b5449ae446cf9f5210c2114d
五河新闻综合,http://60.170.109.149:1935/live/wuhe2/playlist.m3u8
五河文旅频道,http://60.170.109.149:1935/live/wuhe1/playlist.m3u8
定远综合频道,http://ssdyapp.cn/live/dyv1.m3u8
明光综合频道,https://slvedio.slradio.cn/live/mgrmt1.m3u8
阜南新闻综合,http://112.27.139.242:8278/fnxwzhd/playlist.m3u8
太和新闻综合,http://p2.weizan.cn/1110366022/132071060845712961/live.m3u8
广德新闻综合,http://pili-live-hls.guangde.ahxmgk.com/guangde-live/guangde20200324143845.m3u8
广德生活频道,http://pili-live-hls.guangde.ahxmgk.com/guangde-live/guangde20200515090119.m3u8
绩溪新闻频道http://124.112.228.134:1935/live/zongyi/playlist.m3u8
泾县新闻频道,http://app.jxnn.cn:1935/live/zhxw/playlist.m3u8
泾县文化旅游,http://app.jxnn.cn:1935/live/whly/playlist.m3u8
郎溪新闻频道,http://117.70.93.210:1935/live/xinwen/playlist.m3u8
当涂新闻综合,http://newvideo.dangtutv.cn:8278/dt1/playlist.m3u8
含山新闻综合,http://223.241.197.199:1935/live/xinwen/playlist.m3u8
和县新闻综合,http://bf.hxrmt.cn/hexian/hxzh.m3u8
濉溪电视一套,https://hwapi.yunshicloud.com/m87oxo/251011.m3u8
濉溪电视二套,https://hwapi.yunshicloud.com/m87oxo/h7j86z.m3u8
东至新闻综合,http://223.247.33.124:1935/live/zonghe/playlist.m3u8
来安综合频道,http://video.latv.net.cn:8278/latv/playlist.m3u8
青阳电视一套,http://www.lx-qy.cn:1935/live/yitao/playlist.m3u8#http://111.38.103.210:1935/live/yitao/playlist.m3u8
石台综合频道,http://111.38.104.24:8090/hls/main0/playlist.m3u8
祁门综合频道,http://file.qmxrmt.com:8011/nmip-media/channellive/channel104572/playlist.m3u8
歙县综合频道,http://wyhls.ahwanyun.cn/live/4b3024127d1c472986ccdcb454f81a9f/playlist.m3u8
屯溪融媒,http://112.30.194.221:20080/live/63cfaf06e7064943b9a1b7d76d3470dd/hls.m3u8
黟县综合频道,http://app.yixianfabu.com:1935/live/yixian/playlist.m3u8#http://114.104.147.15:1935/live/yixian/playlist.m3u8
灵璧综合频道,http://live.cms.anhuinews.com/video/s10003-lbtv/index.m3u8
萧县新闻综合,http://60.171.238.200:8278/xwzh/playlist.m3u8#rtmp://60.171.238.200:1935/live/xwzh
长丰新闻综合,http://218.23.114.19:1935/live/xinwen/playlist.m3u8
肥西综合频道,http://wyhls.ahwanyun.cn/live/7210e3a27cc64ac4a3f7aba2e2b683d5/playlist.m3u8
庐江新闻频道,http://ljtv-wshls.homecdn.com/live/13607.m3u8
涡阳新闻综合,http://live1.ahwanyun.cn/wylive/786319c8-4846-4f19-983a-695f6ee39feb.m3u8?auth_key=1630380713-0-0-6c683ffdcd05c349754da45b196aa828
利辛综合频道,http://linxinbf.fst1994.cn/live/xinwen.m3u8
利辛影视频道,http://linxinbf.fst1994.cn/live/yingshi.m3u8
蒙城新闻频道,http://live.plus.ahmctv.net/channel2/sd/live.m3u8
潜山新闻综合,http://60.171.171.101:8278/rtmp_export/video22.m3u8
宿松新闻综合,http://live1.ahwanyun.cn/wylive/d8ff11ae-a690-4a04-bc3a-72c5d18c148a.m3u8?auth_key=1623897759-0-0-49b7a550ee6d226b4b85cc5376b64b62
宿松影视文艺,http://live1.ahwanyun.cn/wylive/a7246891-4ec8-49f0-af3c-ee69359eb5b1.m3u8?auth_key=1623897796-0-0-312fc3a055465210d89c0f6a34f2339d
桐城新闻频道,http://pili-live-hls.ahtc.tianma3600.com/ahtc/tcxw.m3u8
岳西综合频道,http://58.243.4.22:1935/live/zonghe/playlist.m3u8
凤台综合频道,http://60.175.115.119:1935/live/zonghe/playlist.m3u8
凤台文化生活,http://60.175.115.119:1935/live/wenhua/playlist.m3u8
霍山综合频道,http://ahhs.chinashadt.com:1936/live/stream:hs1.stream/playlist.m3u8
金寨综合频道,http://112.26.80.214:1935/live/xinwen/playlist.m3u8
舒城新闻综合,http://220.180.24.62:1935/live/live2/playlist.m3u8
舒城文化旅游,http://220.180.24.62:1935/live/live1/playlist.m3u8
淮河能源综合,http://play.hhnynews.com/hhny/zhpd.m3u8?auth_key=1659380497-0-0-b07e3e3cd99f9355b6aa1e79fbd305f2
🇨🇳北京,#genre#
北京文艺HD,http://221.179.136.134:443/PLTV/88888888/224/3221226440/1.m3u8
北京冬奥纪实HD,http://39.134.68.170:6610/PLTV/88888888/224/3221225729/index.m3u8?
北京文艺,http://221.179.136.138:443/PLTV/88888888/224/3221226435/1.m3u8
北京科教,http://221.179.136.142:443/PLTV/88888888/224/3221226559/1.m3u8
北京影视,http://221.179.136.144:443/PLTV/88888888/224/3221226433/1.m3u8
北京财经,http://221.179.136.152:443/PLTV/88888888/224/3221226560/1.m3u8
北京生活,http://221.179.136.152:443/PLTV/88888888/224/3221226561/1.m3u8
北京青年,http://221.179.136.142:443/PLTV/88888888/224/3221226513/1.m3u8
